Q1= QuickSort Deterministic  Q2= QucikSort Randomized
M= MergeSort
size        P_value                  Q1_comp                      CI1                     CI11                standard1                  Q2_comp                      CI2                     CI22                standard2                   M_comp                      CI3                     CI33                standard3                   Q1_CPU                      CI4                     CI44                standard4                   Q2_CPU                      CI5                     CI55                standard5                    M_CPU                      CI6                     CI66                standard6
10              0                       45                       45                       45                        0                       45                       45                       45                        0                       19                       19                       19                        0                     0.04                -0.036816                 0.116816                 0.195959                        0                        0                        0                        0                        0                        0                        0                 0.195959
20              0                    191.8                  191.094                  192.506                      1.8                    103.8                  103.094                  104.506                      1.8                    48.76                  48.4621                  49.0579                     0.76                   0.0416               -0.0426945                 0.125895                 0.215037                        0                        0                        0                        0                        0                        0                        0                 0.215037
50              0                  1232.67                  1229.66                  1235.68                  7.67669                  303.152                  301.521                  304.783                  4.16066                   154.95                  154.183                  155.718                  1.95818                 0.241664                0.0703442                 0.412984                  0.43704                        0                        0                        0                        0                        0                        0                        0                  0.43704
100              0                  4999.31                  4979.98                  5018.64                    49.31                  928.126                   923.37                  932.882                  12.1329                  362.198                  359.766                   364.63                  6.20433                 0.329667                 0.139567                 0.519766                 0.484949                     0.08               -0.0263469                 0.186347                 0.271293                     0.12              -0.00738492                 0.247385                 0.484949
200              0                    20100                  20021.6                  20178.4                  199.977                  1887.13                  1872.57                  1901.68                  37.1316                  826.488                  820.805                  832.171                  14.4965                  1.85319                  1.24667                  2.45971                  1.54725                   0.0832               -0.0307244                 0.197124                 0.290623                   0.2048                0.0417443                 0.367856                  1.54725
500              0                   125554                   125239                   125869                  804.004                  5597.49                  5567.89                  5627.08                  75.4948                  2305.06                   2292.1                  2318.02                  33.0683                  8.75413                  8.14118                  9.36708                  1.56364                 0.283328                 0.102312                 0.464344                 0.461775                 0.168192                0.0158126                 0.320571                  1.56364
1000              0                   504522                   502553                   506491                  5022.16                  11226.5                  10934.2                  11518.7                  745.438                   5136.2                  5100.06                  5172.35                  92.2096                  33.0302                  31.3124                  34.7479                   4.3821                 0.491333                 0.288324                 0.694342                  0.51788                 0.686728                  0.49743                 0.876025                   4.3821
10            0.1                  20217.9                    12307                  28128.8                  20180.9                  474.058                  298.014                  650.102                  449.092                  226.448                  145.909                  306.987                  205.457                  1.32121                 0.777912                   1.8645                  1.38595                0.0196533               -0.0372899                0.0765966                 0.145263                0.0274691               -0.0280659                0.0830041                  1.38595
20            0.1                  963.715                  646.503                  1280.93                  809.214                  82.9623                  75.3457                   90.579                  19.4302                  60.0579                  56.3336                  63.7822                  9.50075                0.0528483               -0.0417458                 0.147442                 0.241311              0.000786133               -0.0290964                0.0306687                0.0762309               0.00109876               -0.0284135                 0.030611                 0.241311
50            0.1                  531.549                  516.274                  546.823                  38.9662                  235.318                  233.973                  236.664                   3.4336                  201.402                   200.43                  202.375                  2.48015                0.0421139               -0.0438199                 0.128048                 0.219219              3.14453e-05               -0.0216148                0.0216776                0.0552199                 0.040044               -0.0397273                 0.119815                 0.219219
